Issue Key,Issue Type,Summary,Description,Priority,Story Points,Labels,Parent
AUTH-001,Epic,Authentication & Authorization,"Complete authentication system including user registration, login, password management, and email verification for restaurant owners and staff members.",Highest,,auth;security;backend,
AUTH-002,Story,RegisterRestaurantUseCase,"Implement restaurant owner registration flow with email verification. Create restaurant entity, owner user account, and send verification email. Validate unique email and business information.",Highest,5,auth;registration;backend,AUTH-001
AUTH-003,Story,LoginUseCase,"Implement secure login with email/password. Generate JWT access token (15min) and refresh token (30 days). Store refresh token in Redis. Log authentication events.",Highest,3,auth;jwt;backend,AUTH-001
AUTH-004,Story,RefreshTokenUseCase,"Implement token refresh mechanism. Validate refresh token from Redis, generate new access token. Handle token rotation and blacklisting.",Highest,3,auth;jwt;backend,AUTH-001
AUTH-005,Story,LogoutUseCase,"Implement logout functionality. Invalidate refresh token in Redis, add access token to blacklist. Clear user session.",High,2,auth;backend,AUTH-001
AUTH-006,Story,ForgotPasswordUseCase,"Implement forgot password flow. Generate secure reset token, send email with reset link. Token expires in 1 hour.",High,3,auth;email;backend,AUTH-001
AUTH-007,Story,ResetPasswordUseCase,"Implement password reset with token validation. Verify token, hash new password with bcrypt (12 rounds), invalidate reset token.",High,3,auth;security;backend,AUTH-001
AUTH-008,Story,ChangePasswordUseCase,"Implement password change for authenticated users. Verify old password, validate new password strength, update with bcrypt hash.",Medium,2,auth;backend,AUTH-001
AUTH-009,Story,VerifyEmailUseCase,"Implement email verification after registration. Validate verification token, activate user account, update email_verified status.",High,3,auth;email;backend,AUTH-001
REST-001,Epic,Restaurant Management,"Restaurant profile management including creation, updates, logo upload, statistics dashboard, and soft deletion for multi-tenant SaaS platform.",High,,restaurant;tenant;backend,
REST-002,Story,CreateRestaurantUseCase,"Create new restaurant entity during registration. Initialize with default settings, create first subscription (trial), set up tenant context.",Highest,5,restaurant;tenant;backend,REST-001
REST-003,Story,UpdateRestaurantUseCase,"Update restaurant profile information including name, contact details, business hours. Validate tenant ownership before update.",High,3,restaurant;backend,REST-001
REST-004,Story,GetRestaurantDetailsUseCase,"Retrieve complete restaurant details including subscription status, feature limits, branch count, and statistics.",High,2,restaurant;backend,REST-001
REST-005,Story,UploadRestaurantLogoUseCase,"Upload restaurant logo to Cloudinary. Validate image format (JPEG/PNG/WEBP), size limit (5MB). Store URL in database.",Medium,3,restaurant;media;backend,REST-001
REST-006,Story,GetRestaurantStatisticsUseCase,"Generate restaurant-wide statistics: total revenue, order count, active branches, table utilization, popular items. Cache results.",High,5,restaurant;analytics;backend,REST-001
REST-007,Story,DeleteRestaurantUseCase,"Soft delete restaurant and cascade to all related entities. Archive data, cancel subscription, notify owner via email.",Low,2,restaurant;backend,REST-001
BRANCH-001,Epic,Branch Management,"Multi-branch operations including creation, updates, status management, statistics, and branch-level configuration for restaurant chains.",High,,branch;backend,
BRANCH-002,Story,CreateBranchUseCase,"Create new branch under restaurant. Validate subscription limits (max branches). Initialize with areas and default settings.",Highest,5,branch;backend,BRANCH-001
BRANCH-003,Story,UpdateBranchUseCase,"Update branch information: name, address, phone, business hours. Validate tenant ownership and branch existence.",High,3,branch;backend,BRANCH-001
BRANCH-004,Story,GetBranchDetailsUseCase,"Retrieve branch details including areas, table count, active orders, staff assigned, and current status.",High,2,branch;backend,BRANCH-001
BRANCH-005,Story,ListBranchesUseCase,"List all branches with pagination, filtering, and sorting. Support search by name/address. Cache results.",High,3,branch;backend,BRANCH-001
BRANCH-006,Story,DeleteBranchUseCase,"Soft delete branch. Validate no active orders, reassign staff, archive data. Prevent deletion if only branch.",Medium,3,branch;backend,BRANCH-001
BRANCH-007,Story,GetBranchStatisticsUseCase,"Generate branch-specific statistics: daily revenue, order count, table turnover, peak hours, staff performance.",High,5,branch;analytics;backend,BRANCH-001
BRANCH-008,Story,SetBranchStatusUseCase,"Update branch operational status (active/inactive/maintenance). Notify staff, update table availability.",Medium,2,branch;backend,BRANCH-001
TABLE-001,Epic,Table & Area Management,"Complete table and area management including QR code generation, table status tracking, area organization, and table merging for split bills.",Highest,,table;qr;backend,
TABLE-002,Story,CreateAreaUseCase,"Create dining area within branch (Main Dining, VIP, Outdoor). Set sort order for display. Validate unique name per branch.",Highest,3,table;backend,TABLE-001
TABLE-003,Story,UpdateAreaUseCase,"Update area information and sort order. Validate no active orders in area before major changes.",Medium,2,table;backend,TABLE-001
TABLE-004,Story,DeleteAreaUseCase,"Delete area if no tables assigned. Soft delete with validation. Prevent deletion if tables exist.",Low,2,table;backend,TABLE-001
TABLE-005,Story,CreateTableUseCase,"Create table with auto-generated QR code. Set capacity, area assignment. Generate unique QR token using SHA256 hash.",Highest,5,table;qr;backend,TABLE-001
TABLE-006,Story,UpdateTableUseCase,"Update table information: name, capacity, area, position. Validate no active orders before major changes.",High,3,table;backend,TABLE-001
TABLE-007,Story,DeleteTableUseCase,"Soft delete table. Validate no active orders or reservations. Archive QR code.",Medium,2,table;backend,TABLE-001
TABLE-008,Story,GenerateTableQRUseCase,"Generate/regenerate QR code for table. Create unique token, generate QR image, store in Cloudinary. Return QR URL.",Highest,5,table;qr;backend,TABLE-001
TABLE-009,Story,GetTableByQRUseCase,"Retrieve table information by scanning QR code. Validate token, return table details with branch and restaurant info. Cache result.",Highest,3,table;qr;backend,TABLE-001
TABLE-010,Story,UpdateTableStatusUseCase,"Update table status (Available/Occupied/Reserved/OutOfService). Trigger WebSocket event for real-time updates.",Highest,3,table;realtime;backend,TABLE-001
TABLE-011,Story,MergeTablesUseCase,"Merge multiple tables for split bill feature. Move orders from source to target table. Record merge history. Validate same branch.",High,8,table;order;backend,TABLE-001
MENU-001,Epic,Menu Management,"Comprehensive menu management including categories, items, customizations, availability tracking, image uploads, and search functionality.",Highest,,menu;backend,
MENU-002,Story,CreateCategoryUseCase,"Create menu category (Appetizer, Main Course, Dessert, Drinks). Set sort order. Support global or branch-specific categories.",Highest,3,menu;backend,MENU-001
MENU-003,Story,UpdateCategoryUseCase,"Update category name, description, sort order. Validate tenant ownership.",Medium,2,menu;backend,MENU-001
MENU-004,Story,DeleteCategoryUseCase,"Soft delete category. Cascade to menu items. Validate no active orders with items from category.",Low,2,menu;backend,MENU-001
MENU-005,Story,CreateMenuItemUseCase,"Create menu item with price, description, image. Link to category. Support branch-specific or global items.",Highest,5,menu;backend,MENU-001
MENU-006,Story,UpdateMenuItemUseCase,"Update menu item details. Invalidate cache. Log price changes for audit trail.",High,3,menu;backend,MENU-001
MENU-007,Story,DeleteMenuItemUseCase,"Soft delete menu item. Validate no active orders. Keep historical order data intact.",Medium,2,menu;backend,MENU-001
MENU-008,Story,UploadMenuItemImageUseCase,"Upload menu item image to Cloudinary. Validate format and size. Generate thumbnails. Store URL.",High,5,menu;media;backend,MENU-001
MENU-009,Story,GetFullMenuByBranchUseCase,"Retrieve complete menu with categories, items, customizations. Filter by availability. Cache aggressively (2 hours TTL).",Highest,5,menu;cache;backend,MENU-001
MENU-010,Story,UpdateMenuItemAvailabilityUseCase,"Update item availability status (available/out_of_stock). Set reason. Invalidate menu cache. Notify via WebSocket.",Highest,3,menu;realtime;backend,MENU-001
MENU-011,Story,CreateCustomizationGroupUseCase,"Create customization group (Size, Toppings, Spice Level). Set min/max selections, required flag.",High,5,menu;backend,MENU-001
MENU-012,Story,AddCustomizationOptionUseCase,"Add option to customization group with price delta. Set sort order. Support multiple options per group.",High,3,menu;backend,MENU-001
MENU-013,Story,SearchMenuItemsUseCase,"Search menu items by name/description. Support fuzzy search. Filter by category, availability. Return ranked results.",Medium,5,menu;search;backend,MENU-001
ORDER-001,Epic,Order Management,"Complete order lifecycle management including creation, updates, status tracking, item management, and real-time synchronization with kitchen and customer.",Highest,,order;backend,
ORDER-002,Story,CreateOrderUseCase,"Create order from QR scan. Validate menu items availability. Calculate totals (subtotal, tax 10%, service charge 5%). Create in PostgreSQL, log event in MongoDB, emit WebSocket event, invalidate cache.",Highest,8,order;qr;realtime;backend,ORDER-001
ORDER-003,Story,GetOrderDetailsUseCase,"Retrieve order with full details: items, customizations, payment status, table info. Try cache first (5min TTL).",Highest,3,order;cache;backend,ORDER-001
ORDER-004,Story,UpdateOrderStatusUseCase,"Update order status (Pending→Preparing→Ready→Served→Completed). Log event to MongoDB. Emit WebSocket to kitchen and customer. Invalidate cache.",Highest,5,order;realtime;backend,ORDER-001
ORDER-005,Story,AddItemsToOrderUseCase,"Add items to existing order. Recalculate totals. Validate order not paid. Log event. Emit real-time update.",High,5,order;backend,ORDER-001
ORDER-006,Story,RemoveItemFromOrderUseCase,"Remove item from order. Recalculate totals. Validate order not paid. Log event.",High,3,order;backend,ORDER-001
ORDER-007,Story,UpdateOrderItemUseCase,"Update item quantity or customizations. Recalculate totals. Validate order not paid. Log event.",High,3,order;backend,ORDER-001
ORDER-008,Story,CancelOrderUseCase,"Cancel order within cancellation window (5 minutes). Update table status to Available. Refund if paid. Log event.",High,5,order;backend,ORDER-001
ORDER-009,Story,GetActiveOrdersByBranchUseCase,"List active orders for branch (Pending/Preparing/Ready/Served). Cache 5 minutes. Support real-time updates.",Highest,3,order;cache;backend,ORDER-001
ORDER-010,Story,GetOrdersByTableUseCase,"Retrieve order history for specific table. Support pagination. Show payment status.",Medium,3,order;backend,ORDER-001
ORDER-011,Story,GetOrderLifecycleUseCase,"Retrieve complete order event history from MongoDB. Show timeline of all status changes and modifications.",Medium,5,order;mongodb;backend,ORDER-001
PAYMENT-001,Epic,Payment Management,"Secure payment processing with ACID transactions, idempotency, webhook verification, refunds, and financial reporting. Integrates with PayOS gateway.",Highest,,payment;financial;backend,
PAYMENT-002,Story,ProcessPaymentUseCase,"Process payment with SELECT FOR UPDATE lock. Check idempotency key. Validate amount matches order total. Update order and table status in transaction. Log to MongoDB. Emit WebSocket event. CRITICAL: Prevent double payment.",Highest,8,payment;transaction;backend,PAYMENT-001
PAYMENT-003,Story,VerifyPaymentWebhookUseCase,"Verify PayOS webhook signature using HMAC-SHA256. Validate transaction reference. Update payment status. Handle success/failure cases.",Highest,5,payment;webhook;backend,PAYMENT-001
PAYMENT-004,Story,GetPaymentDetailsUseCase,"Retrieve payment details including transaction reference, method, status, PayOS data. Include order information.",High,3,payment;backend,PAYMENT-001
PAYMENT-005,Story,RefundPaymentUseCase,"Process refund in transaction. Update payment status (Refunded/PartialRefund). Update order status to Cancelled. Log event. Call PayOS refund API.",High,8,payment;transaction;backend,PAYMENT-001
PAYMENT-006,Story,GetPaymentHistoryUseCase,"List payment history with filters (date range, status, method). Support pagination. Show order details.",Medium,3,payment;backend,PAYMENT-001
PAYMENT-007,Story,GetPaymentStatisticsUseCase,"Generate payment statistics: total revenue, success rate, payment methods breakdown, average transaction value. Cache results.",High,5,payment;analytics;backend,PAYMENT-001
PAYMENT-008,Story,RetryFailedPaymentUseCase,"Retry failed payment with new idempotency key. Validate order still unpaid. Generate new transaction reference.",Medium,5,payment;backend,PAYMENT-001
PAYMENT-009,Story,GenerateInvoiceUseCase,"Generate invoice for paid order. Include itemized list, taxes, service charges. Store as PDF. Send via email.",Medium,5,payment;pdf;backend,PAYMENT-001
RESERVATION-001,Epic,Reservation Management,"Online table booking system with availability checking, confirmation workflow, calendar view, and automated notifications.",Medium,,reservation;backend,
RESERVATION-002,Story,CreateReservationUseCase,"Create table reservation. Check table availability using 2-hour buffer. Validate party size fits capacity. Send confirmation email.",High,5,reservation;email;backend,RESERVATION-001
RESERVATION-003,Story,UpdateReservationUseCase,"Update reservation details (time, party size, table). Recheck availability. Send update notification.",Medium,3,reservation;backend,RESERVATION-001
RESERVATION-004,Story,CancelReservationUseCase,"Cancel reservation. Free up table. Send cancellation email. Update status to Cancelled.",Medium,3,reservation;backend,RESERVATION-001
RESERVATION-005,Story,ConfirmReservationUseCase,"Confirm pending reservation. Update status. Send confirmation email with details and QR code.",High,3,reservation;email;backend,RESERVATION-001
RESERVATION-006,Story,GetReservationDetailsUseCase,"Retrieve reservation details including customer info, table, branch, status.",Medium,2,reservation;backend,RESERVATION-001
RESERVATION-007,Story,ListReservationsUseCase,"List reservations with filters (date range, status, branch). Support pagination. Calendar view data.",High,3,reservation;backend,RESERVATION-001
RESERVATION-008,Story,CheckTableAvailabilityUseCase,"Check table availability for date/time/party size. Consider existing reservations and 2-hour buffer. Return available tables sorted by capacity.",High,5,reservation;backend,RESERVATION-001
SERVICE-001,Epic,Service Request Management,"Real-time customer service request system for calling staff, requesting items, and tracking response times with WebSocket notifications.",High,,service;realtime;backend,
SERVICE-002,Story,CreateServiceRequestUseCase,"Create service request from QR scan (Call Staff, Request Water, Request Bill, etc.). Store in MongoDB. Emit WebSocket to staff. Set priority.",Highest,5,service;realtime;mongodb;backend,SERVICE-001
SERVICE-003,Story,AcknowledgeServiceRequestUseCase,"Staff acknowledges request. Update status to ACKNOWLEDGED. Record acknowledged_at timestamp. Notify customer via WebSocket.",High,3,service;realtime;backend,SERVICE-001
SERVICE-004,Story,ResolveServiceRequestUseCase,"Mark request as RESOLVED. Calculate response time. Update resolved_at. Notify customer. Auto-delete after 24 hours (TTL).",High,3,service;mongodb;backend,SERVICE-001
SERVICE-005,Story,GetPendingRequestsByBranchUseCase,"List pending requests for branch sorted by priority and creation time. Real-time updates via WebSocket.",Highest,3,service;realtime;backend,SERVICE-001
SERVICE-006,Story,AssignRequestToStaffUseCase,"Assign request to specific staff member. Update assigned_to field. Notify staff via WebSocket.",Medium,3,service;backend,SERVICE-001
SERVICE-007,Story,GetServiceRequestStatisticsUseCase,"Calculate statistics: total requests, average response time, requests by type, resolution rate. Group by time period.",Medium,5,service;analytics;mongodb;backend,SERVICE-001
USER-001,Epic,User & Staff Management,"Staff account management with role-based access control, branch assignment, activity logging, and permission management.",High,,user;rbac;backend,
USER-002,Story,CreateStaffUseCase,"Create staff account (Manager/Staff/Chef/Cashier). Assign to branch. Set permissions based on role. Send welcome email with credentials.",High,5,user;rbac;backend,USER-001
USER-003,Story,UpdateStaffUseCase,"Update staff information (name, email, phone). Validate email uniqueness. Log changes to activity log.",Medium,3,user;backend,USER-001
USER-004,Story,DeleteStaffUseCase,"Soft delete staff account. Unassign from branch. Invalidate tokens. Archive activity logs.",Medium,2,user;backend,USER-001
USER-005,Story,AssignStaffToBranchUseCase,"Assign staff to branch. Validate branch belongs to restaurant. Update staff record. Notify staff.",High,3,user;backend,USER-001
USER-006,Story,UpdateStaffRoleUseCase,"Change staff role. Update permissions accordingly. Invalidate existing tokens. Require re-login.",High,3,user;rbac;backend,USER-001
USER-007,Story,GetStaffListUseCase,"List staff with filters (branch, role, status). Support pagination and search. Show last login.",High,3,user;backend,USER-001
USER-008,Story,GetStaffActivityLogUseCase,"Retrieve staff activity log from MongoDB. Show actions performed, entities modified, timestamps. Support filtering.",High,5,user;mongodb;backend,USER-001
USER-009,Story,SetStaffStatusUseCase,"Activate/deactivate staff account. Invalidate tokens if deactivated. Notify staff via email.",Medium,2,user;backend,USER-001
SUBSCRIPTION-001,Epic,Subscription Management,"SaaS subscription management with plan tiers (Basic/Standard/Advanced), feature limits, upgrades, renewals, and billing.",High,,subscription;saas;backend,
SUBSCRIPTION-002,Story,CreateSubscriptionUseCase,"Create subscription during restaurant registration. Default to trial plan. Set start/end dates. Initialize feature limits.",Highest,5,subscription;backend,SUBSCRIPTION-001
SUBSCRIPTION-003,Story,UpgradeSubscriptionUseCase,"Upgrade to higher plan. Calculate prorated amount. Update feature limits immediately. Process payment via PayOS. Send confirmation.",High,5,subscription;payment;backend,SUBSCRIPTION-001
SUBSCRIPTION-004,Story,CancelSubscriptionUseCase,"Cancel subscription. Set end date. Downgrade to free plan at period end. Send cancellation confirmation.",Medium,3,subscription;backend,SUBSCRIPTION-001
SUBSCRIPTION-005,Story,RenewSubscriptionUseCase,"Auto-renew subscription. Process payment. Extend end date. Handle payment failures with retry logic.",High,5,subscription;payment;backend,SUBSCRIPTION-001
SUBSCRIPTION-006,Story,GetSubscriptionDetailsUseCase,"Retrieve subscription details: plan type, features, limits, billing cycle, next renewal date.",High,2,subscription;backend,SUBSCRIPTION-001
SUBSCRIPTION-007,Story,CheckFeatureLimitUseCase,"Check if restaurant has reached feature limit (max tables, max branches). Used before creating new entities. Cache limits.",Highest,3,subscription;cache;backend,SUBSCRIPTION-001
FEEDBACK-001,Epic,Feedback & Rating Management,"Customer feedback and rating system with dish-specific ratings, sentiment analysis, response management, and statistics.",Medium,,feedback;mongodb;backend,
FEEDBACK-002,Story,CreateFeedbackUseCase,"Create feedback after order completion. Rate overall (1-5), food, service, ambiance. Rate individual dishes. Upload photos. Store in MongoDB. Auto-detect sentiment.",High,5,feedback;mongodb;backend,FEEDBACK-001
FEEDBACK-003,Story,GetFeedbacksByRestaurantUseCase,"List feedbacks with filters (rating, date range, sentiment). Support pagination. Show customer info if not anonymous.",Medium,3,feedback;mongodb;backend,FEEDBACK-001
FEEDBACK-004,Story,RespondToFeedbackUseCase,"Restaurant responds to feedback. Store response with timestamp and responder. Notify customer via email.",Medium,3,feedback;email;backend,FEEDBACK-001
FEEDBACK-005,Story,GetFeedbackStatisticsUseCase,"Calculate statistics: average ratings, sentiment distribution, response rate, trending issues. Cache results.",High,5,feedback;analytics;mongodb;backend,FEEDBACK-001
FEEDBACK-006,Story,GetDishRatingsUseCase,"Get ratings for specific dish. Calculate average rating, total reviews. Show recent comments. Help identify popular/unpopular items.",Medium,3,feedback;mongodb;backend,FEEDBACK-001
ANALYTICS-001,Epic,Analytics & Reporting,"Business intelligence dashboard with revenue reports, popular items analysis, peak hours, table turnover, staff performance, and export functionality.",Medium,,analytics;backend,
ANALYTICS-002,Story,GetDashboardOverviewUseCase,"Generate dashboard overview: today's revenue, active orders, table occupancy, pending service requests. Real-time updates. Cache 5 minutes.",High,8,analytics;cache;realtime;backend,ANALYTICS-001
ANALYTICS-003,Story,GetRevenueReportUseCase,"Generate revenue report by date range. Group by day/week/month. Show trends, comparisons. Support branch filtering. Cache results.",High,5,analytics;backend,ANALYTICS-001
ANALYTICS-004,Story,GetPopularItemsUseCase,"Identify popular menu items by order frequency and quantity. Show revenue contribution. Filter by date range and branch.",High,5,analytics;backend,ANALYTICS-001
ANALYTICS-005,Story,GetPeakHoursAnalyticsUseCase,"Analyze order patterns to identify peak hours. Group by hour of day and day of week. Help with staff scheduling.",Medium,5,analytics;backend,ANALYTICS-001
ANALYTICS-006,Story,GetTableTurnoverRateUseCase,"Calculate table turnover rate: average dining duration, tables per day. Identify optimization opportunities.",Medium,5,analytics;backend,ANALYTICS-001
ANALYTICS-007,Story,GetStaffPerformanceUseCase,"Analyze staff performance: orders handled, service request response time, customer ratings. Support comparison.",Medium,5,analytics;backend,ANALYTICS-001
ANALYTICS-008,Story,ExportReportUseCase,"Export reports to Excel/PDF. Support all report types. Generate asynchronously for large datasets. Email download link.",Medium,5,analytics;export;backend,ANALYTICS-001
ANALYTICS-009,Story,GetCustomerBehaviorUseCase,"Analyze customer behavior: order patterns, average spend, visit frequency, preferred items. Use MongoDB session data.",Medium,5,analytics;mongodb;backend,ANALYTICS-001
NOTIFICATION-001,Epic,Notification System,"Multi-channel notification system for order updates, payment confirmations, service requests, and system alerts via WebSocket, email, and SMS.",Medium,,notification;realtime;backend,
NOTIFICATION-002,Story,SendOrderNotificationUseCase,"Send real-time notification when order created/updated. WebSocket to kitchen display and staff devices. Include order details.",Highest,5,notification;realtime;backend,NOTIFICATION-001
NOTIFICATION-003,Story,SendPaymentNotificationUseCase,"Send payment confirmation via email and WebSocket. Include receipt, invoice PDF. Update customer and staff.",High,5,notification;email;backend,NOTIFICATION-001
NOTIFICATION-004,Story,SendServiceRequestNotificationUseCase,"Send real-time notification to staff when service requested. WebSocket with sound alert. Show table location and request type.",Highest,5,notification;realtime;backend,NOTIFICATION-001
NOTIFICATION-005,Story,GetNotificationHistoryUseCase,"Retrieve notification history from MongoDB. Filter by type, status, date range. Support pagination.",Medium,3,notification;mongodb;backend,NOTIFICATION-001
